time,hex,lat,lon,altitude,squawk,callsign,vspeed,track,groundspeed,tas,qnh,mcp_alt,precision,gps_altitude,oat
04:09:28Z.532,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:28Z.543,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:28Z.615,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:28Z.650,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:28Z.830,4ca9bf,,,28400,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:28Z.930,4ca9bf,29.761078,34.373905,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:29Z.165,4ca9bf,29.761078,34.373905,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:29Z.191,4ca9bf,29.761078,34.373905,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:29Z.450,4ca9bf,29.762009,34.373528,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:29Z.467,4ca9bf,29.762009,34.373528,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:29Z.629,4ca9bf,29.762009,34.373528,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:29Z.640,4ca9bf,29.762009,34.373528,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:29Z.651,4ca9bf,29.762009,34.373528,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:29Z.810,4ca9bf,29.762009,34.373528,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:29Z.960,4ca9bf,29.762878,34.373157,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:30Z.150,4ca9bf,29.762878,34.373157,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:30Z.168,4ca9bf,29.762878,34.373157,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:30Z.371,4ca9bf,29.763611,34.37284,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:30Z.621,4ca9bf,29.763611,34.37284,28425,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:30Z.951,4ca9bf,29.764616,34.372451,28450,7327,KGL9268,832,340.5,401,432,1013,32000,4,,-36
04:09:31Z.091,4ca9bf,29.764616,34.372451,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:31Z.391,4ca9bf,29.765408,34.372128,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:31Z.628,4ca9bf,29.765408,34.372128,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:31Z.661,4ca9bf,29.765408,34.372128,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:31Z.761,4ca9bf,29.765408,34.372128,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:31Z.880,4ca9bf,29.766266,34.371784,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:32Z.241,4ca9bf,29.766266,34.371784,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:32Z.461,4ca9bf,29.767273,34.371361,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:32Z.651,4ca9bf,29.767273,34.371361,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
04:09:32Z.761,4ca9bf,29.767273,34.371361,28450,7327,KGL9268,768,340.5,401,432,1013,32000,4,,-36
