"station","lat","lon","n_start","n_end"
"Front St & Maiden Ln",40.70530954,-74.00612572,1211,1245
"Front St & Washington St",40.70255088,-73.98940236,1080,1245
"Frost St & Meeker St",40.71764,-73.94882,216,186
"Fulton St & Broadway",40.711066,-74.009447,1400,1413
"Fulton St & Clermont Ave",40.68415748,-73.96922273,451,415
"Fulton St & Grand Ave",40.68223166,-73.9614583,347,343
"Fulton St & Rockwell Pl",40.688226,-73.979382,529,708
"Fulton St & Utica Ave",40.6794268,-73.9298911,259,262
"Fulton St & Washington Ave",40.683048,-73.964915,769,747
"Fulton St & William St",40.70955958,-74.00653609,1542,1577
"Gallatin Pl & Livingston St",40.69028437,-73.98707105,253,291
"Graham Ave & Conselyea St",40.715143,-73.944507,831,802
"Graham Ave & Grand St",40.711863,-73.944024,341,312
"Graham Ave & Herbert St",40.71929301,-73.94500379,234,161
"Graham Ave & Withers St",40.7169811,-73.94485918,292,241
"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,3232,3181
"Grand St & Greene St",40.72165481,-74.00234737,1868,1938
"Grand St & Havemeyer St",40.71286844,-73.95698119,692,726
"Great Jones St",40.72743423,-73.99379025,3126,3197
"Greene Ave & Nostrand Ave",40.6883337,-73.950916,138,117
"Greene Ave & Throop Ave",40.6894932,-73.942061,258,228
"Greenpoint Ave & Manhattan Ave",40.73026,-73.95394,702,698
"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,4752,4864
"Greenwich Ave & Charles St",40.735238,-74.000271,2490,2543
"Greenwich St & N Moore St",40.72043411,-74.01020609,2611,2518
"Greenwich St & W Houston St",40.728846,-74.008591,2808,2918
"Greenwich St & Warren St",40.71542197,-74.01121978,3054,3470
"Halsey St & Tompkins Ave",40.6823687,-73.944118,273,278
"Hancock St & Bedford Ave",40.68216564,-73.95399026,213,180
"Hanson Pl & St Felix St",40.6851595998918,-73.9771136641502,1395,1435
"Harrison St & Hudson St",40.71870987,-74.0090009,1293,1359
"Henry St & Atlantic Ave",40.69089272,-73.99612349,976,1016
"Henry St & Grand St",40.714215,-73.981346,1872,1845
"Henry St & Poplar St",40.700469,-73.991454,271,259
"Hicks St & Montague St",40.69512845,-73.99595065,717,704
"Hope St & Union Ave",40.71167351,-73.95141312,436,412
"Howard St & Centre St",40.71910537,-73.99973337,2349,2391
"Hudson St & Reade St",40.71625008,-74.0091059,1654,1735
"Humboldt St & Varet St",40.7031724,-73.940636,241,250
"Huron St & Franklin St",40.73266,-73.95826,446,423
"India St & East River",40.73165141,-73.96161892,174,190
"India St & Manhattan Ave",40.73232194,-73.9550858,477,476
"Jackson Ave & 46 Rd",40.74524768,-73.94733276,218,199
"Jay St & Tech Pl",40.695065,-73.987167,918,959
"John St & William St",40.70862144,-74.00722156,1378,1352
"Johnson St & Gold St",40.69474881,-73.98362464,687,671
"Kent Ave & N 7 St",40.72057658,-73.96150225,1312,1544
"Kent Ave & S 11 St",40.70827295,-73.96834101,695,690
"Kingston Ave & Herkimer St",40.67890679,-73.94142771,111,118
"Kosciuszko St & Nostrand Ave",40.69072549,-73.95133465,174,148
"Kosciuszko St & Tompkins Ave",40.69128258,-73.9452416,206,189
"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,412,345
"Lafayette Ave & Fort Greene Pl",40.68691865,-73.976682,668,711
"Lafayette Ave & St James Pl",40.68851534,-73.9647628,570,365
"Lafayette St & E 8 St",40.73028666,-73.9907647,7101,7252
"Lafayette St & Jersey St",40.72456089,-73.99565293,4724,4781
"LaGuardia Pl & W 3 St",40.72917025,-73.99810231,3363,3403
"Laight St & Hudson St",40.72185379,-74.00771779,758,775
"Lawrence St & Willoughby St",40.69236178,-73.98631746,1057,1103
"Lefferts Pl & Franklin Ave",40.680342423,-73.9557689392,467,471
"Leonard St & Bayard St",40.71928,-73.94861,276,267
"Leonard St & Boerum St",40.70583339,-73.94644578,216,211
"Leonard St & Church St",40.717571,-74.005549,1465,1499
"Leonard St & Grand St",40.71103537,-73.94714303,397,401
"Leonard St & Manhattan Ave",40.721522403393,-73.948982656002,249,190
"Leonard St & Meeker Ave",40.7173184038558,-73.9482021331787,176,133
"Lewis Ave & Decatur St",40.6814598,-73.934903,100,91
"Lewis Ave & Kosciuszko St",40.69237074,-73.93705428,223,193
"Lewis Ave & Madison St",40.686312,-73.935775,282,250
"Lexington Ave & Classon Ave",40.68676793,-73.95928168,414,374
"Lexington Ave & E 24 St",40.74025878,-73.98409214,4337,4374
"Lexington Ave & E 29 St",40.7431155537649,-73.9821535348892,2776,2786
"Lexington Ave & E 63 St",40.76440023,-73.96648977,1203,1219
"Liberty St & Broadway",40.70905623,-74.01043382,2047,1970
"Lispenard St & Broadway",40.71939226,-74.00247214,1879,2077
"Little West St & 1 Pl",40.70569254,-74.01677685,2155,2166
"Lorimer St & Broadway",40.70411791,-73.94818595,192,218
"MacDougal St & Prince St",40.72710258,-74.00297088,3117,3253
"MacDougal St & Washington Sq",40.73226398,-73.99852205,2506,2558
"Macon St & Nostrand Ave",40.6809833854,-73.9500479759,631,616
"Madison St & Clinton St",40.71269042,-73.98776323,1105,1103
"Madison St & Montgomery St",40.713126,-73.984844,980,976
"Maiden Ln & Pearl St",40.70706456,-74.00731853,1235,1301
"Marcus Garvey Blvd & Macon St",40.682601,-73.938037,183,172
"Marcy Ave & Lafayette Ave",40.6900815,-73.947915,70,41
"Marcy Ave & MacDonough St",40.6806176845545,-73.9462494850159,150,132
"Market St & Cherry St",40.71076228,-73.99400398,899,901
"McGuinness Blvd & Eagle St",40.73555,-73.95284,490,461
"McKibbin St & Manhattan Ave",40.70510918,-73.94407279,168,141
"Mercer St & Bleecker St",40.72679454,-73.99695094,3282,3576
"Mercer St & Spring St",40.72362738,-73.99949601,1902,2062
"Meserole Ave & Manhattan Ave",40.72708584,-73.95299117,692,691
"Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,964,960
"Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386,653,650
"Milton St & Franklin St",40.72906,-73.95779,928,928
